,BR1,BR2,BR3,BR4,BR5,AR1,AR2,AR3,AR4,AR5,R1,BR6,BR7,BR8,BR9,BR10,AR6,AR7,AR8,AR9,AR10,R2,BR11,BR12,BR13,BR14,BR15,AR11,AR12,AR13,AR14,AR15,R3
907,0.2363303874421978,0.26928533087526707,0.2616290359627343,0.2545758649983205,0.23754056499310883,0.26030480237188797,0.25610164304737326,0.26137586054192774,0.23618547049135913,0.2461653148093178,0.3644024455675904,0.4379925483354306,0.3986667248864834,0.4150980226872176,0.3984329145292564,0.38977029895577175,0.41380943522376384,0.38621376556765996,0.38185709792280265,0.40042586428593796,0.38007510028271957,0.38032427063740815,0.5554479249395604,0.5911858344364173,0.5876225838433906,0.557375191040595,0.5766823232472755,0.555263552973036,0.568032738892877,0.5749309472411118,0.582468395108789,0.5929205403025232,0.5034941122344223
908,0.2363303874421978,0.2711070508575515,0.2602544149708933,0.2565773491005137,0.2366072865879212,0.2572381794528968,0.25891217460800037,0.2583943040977775,0.23515966938747013,0.24778578021189412,0.35848273212169085,0.4465014846227819,0.39316840758521293,0.409888382790905,0.3951264173132459,0.3926734772711413,0.4086368172834669,0.3888521557684436,0.3796590320554423,0.40700995958332026,0.37862853749253456,0.37914570146902443,0.5548758879416825,0.5923229489477395,0.58677333644406,0.5570858559123556,0.582800210277561,0.5595303150116708,0.5618547393157944,0.583060821221219,0.5900329197205916,0.582427910482934,0.5050931407766515
909,0.23685795773294296,0.27398229564886784,0.2582569188421244,0.25877252521259664,0.236713340952147,0.25298519876232506,0.26069289307771065,0.2561744591539577,0.23486658335778748,0.2493023696271258,0.35100122193687294,0.4554061853886147,0.3894125147808239,0.4045266366202475,0.3897909331692291,0.3972143459182578,0.4024845368544771,0.3941677360259048,0.3800001112417569,0.4129168336501145,0.37681106116640456,0.38146355416684563,0.5565347952355288,0.59260722757557,0.5854145406051314,0.557375191040595,0.588117626107622,0.5672455559582436,0.5599098135230091,0.5905609162310367,0.595878234193348,0.5741961235526486,0.5197509024137527
910,0.236963471791092,0.2758040156311522,0.2554432414994499,0.26047271063273925,0.23620428000386287,0.24949327777427668,0.26185143280499207,0.2537152191671769,0.23486658335778748,0.2502164783157586,0.34165563177334646,0.4625695224491291,0.3858115041539356,0.3984043590778655,0.38704804343322047,0.4008619289298761,0.39676330792051223,0.40080251138375805,0.38185709792280265,0.41950092894749685,0.37773834500626685,0.38664925850773374,0.5599098135230091,0.5931757848312311,0.5823572499675417,0.5624674892976105,0.5934350419376831,0.5737918210038205,0.5599098135230091,0.5939388216171374,0.5986862774204563,0.5663121586053331,0.5434698257901526
911,0.23746993927020738,0.27666000453849066,0.25344574537068093,0.2619361613741278,0.2366072865879212,0.2470757940133201,0.26247361154742105,0.25116892643750116,0.23536901655152911,0.250112602328414,0.33032001028119823,0.46565648538128457,0.38182328808329563,0.39448762251348457,0.38374154621721,0.40428619053261966,0.3935108284580527,0.4070492881826725,0.38538158284805274,0.42337613932252754,0.37862853749253456,0.3904599654855076,0.5618547393157944,0.5903898542784916,0.577091916091693,0.5664024470416678,0.5976089274817097,0.5840788089325841,0.5582509062291628,0.5970304638349249,0.5989728124436308,0.5583702233275226,0.5769827989877063
912,0.23890493046103414,0.2775379418793506,0.2511260724469493,0.2632920054433555,0.23724361277327638,0.2452179129748072,0.2633103346837909,0.24807855406473228,0.23639481765541812,0.2502164783157586,0.3179012071798003,0.4673978490866029,0.3797710992314131,0.3900385139888962,0.3806229181612001,0.4068543867346773,0.3925703524689078,0.41426606137893357,0.3907630544543487,0.4248434519888012,0.37951872997880226,0.3975706661347558,0.5660878131000918,0.587888202353583,0.5748838728534336,0.5706267399139646,0.5976089274817097,0.5952425287870946,0.5599098135230091,0.5992633165477711,0.5964513042396966,0.55413838920139,0.6189572982212233
913,0.24004448228904368,0.27817444645147404,0.24861309344624002,0.26456176417485444,0.23796478245001232,0.24293473386723716,0.262902700335303,0.2456410772636752,0.2380277255350784,0.2502164783157586,0.3048778375988212,0.46680420236888087,0.3803131868526651,0.3855894054643081,0.37934540787319615,0.4097575650500469,0.3921784874734307,0.42222003183717854,0.39705407055748343,0.42540780301429115,0.3833391393990345,0.4075492184270708,0.5713505534805695,0.585386550428674,0.5701847039104717,0.5802326661715166,0.5984665751962357,0.6043605408148625,0.5618547393157944,0.6012099060923038,0.588886779627894,0.5529789825914908,0.6680607997055119
914,0.2411840341170532,0.27817444645147404,0.2455846315735903,0.26591760824408217,0.2386859521267483,0.2408530117397467,0.2627954281383325,0.2434212323198553,0.23945128625067952,0.24919849363978117,0.2912247112682782,0.46427130970659947,0.3812812004620437,0.38186280174285814,0.37840606207319316,0.4124746421913544,0.3939026934535298,0.428466808636093,0.4025871329132525,0.42375237333952076,0.3866031785153496,0.4169384861351939,0.5766704975608351,0.5792461320675341,0.5641267391285811,0.5904172626855474,0.5990383403392531,0.6128940648921323,0.5674607018949992,0.5981182638745165,0.5836145352014863,0.55413838920139,0.7132999822127465
915,0.24190152971246665,0.2772087153765281,0.24274947577791836,0.26697215363125926,0.2386859521267483,0.23986811094824595,0.26258088374439154,0.24265952081952494,0.24037241377253907,0.24899074166509183,0.2776723460176655,0.46023451202608856,0.38182328808329563,0.38056989841092653,0.3778800284251914,0.41519171933266186,0.39829158140287274,0.4356835818323543,0.4084991721427044,0.422623671288541,0.3907574101179321,0.4282527501516771,0.5819904416411007,0.5734468480597907,0.561918695890322,0.5986343803275493,0.5984665751962357,0.618329802831763,0.5758124420640182,0.5917059689042911,0.5788580538167925,0.559471659606927,0.755607612392561
916,0.24333652090329347,0.27527725322663626,0.2400217122472339,0.26751018699206386,0.23908895871080657,0.23998003149273464,0.2616368884110511,0.24150607197616755,0.24150288845845763,0.24869988890052688,0.26575734831591863,0.455208303149374,0.3852306959883084,0.379619234196271,0.3789696695531949,0.41630832637703463,0.4023277908562863,0.4407663629544522,0.4157376304300462,0.4204415139899799,0.39583892556037703,0.43842773063872265,0.5886832745162738,0.5678749869543119,0.5610694484909915,0.6054048223283539,0.5934350419376831,0.6186220468070119,0.5825624786389788,0.5827745580529055,0.5738150374089241,0.568573001494637,0.7900533522397485
